sid,lpg_primary,lpg_nozzle_types
19780,1.0,"[""ACME"",""QUICK_CONNECT""]"
19781,0.0,"[""ACME"",""QUICK_CONNECT""]"
19782,0.0,"[""ACME"",""QUICK_CONNECT""]"
19786,1.0,"[""ACME"",""QUICK_CONNECT""]"
19787,0.0,"[""ACME"",""QUICK_CONNECT""]"
19788,0.0,"[""ACME"",""QUICK_CONNECT""]"
19789,1.0,"[""ACME"",""QUICK_CONNECT""]"
19790,1.0,"[""ACME"",""QUICK_CONNECT""]"
19794,1.0,"[""ACME"",""QUICK_CONNECT""]"
19796,1.0,"[""ACME"",""QUICK_CONNECT""]"
19797,0.0,"[""ACME"",""QUICK_CONNECT""]"
19800,0.0,"[""ACME"",""QUICK_CONNECT""]"
19801,0.0,None
19803,1.0,"[""ACME"",""QUICK_CONNECT""]"
19805,1.0,"[""ACME"",""QUICK_CONNECT""]"
19807,0.0,"[""ACME"",""QUICK_CONNECT""]"
19810,1.0,"[""QUICK_CONNECT"",""ACME""]"
19815,0.0,None
19817,1.0,"[""QUICK_CONNECT"",""ACME""]"
19819,0.0,"[""ACME"",""QUICK_CONNECT""]"
19828,0.0,"[""QUICK_CONNECT"",""ACME""]"
19833,0.0,"[""ACME"",""QUICK_CONNECT""]"
19834,0.0,None
19835,0.0,"[""QUICK_CONNECT"",""ACME""]"
19836,0.0,"[""ACME"",""QUICK_CONNECT""]"
19837,1.0,"[""QUICK_CONNECT"",""ACME""]"
19838,0.0,"[""QUICK_CONNECT"",""ACME""]"
19839,1.0,"[""QUICK_CONNECT"",""ACME""]"
19846,0.0,None
19848,1.0,"[""ACME"",""QUICK_CONNECT""]"
19849,1.0,"[""ACME"",""QUICK_CONNECT""]"
19850,0.0,"[""ACME"",""QUICK_CONNECT""]"
19858,1.0,"[""ACME"",""QUICK_CONNECT""]"
19863,1.0,"[""ACME"",""QUICK_CONNECT""]"
19864,1.0,"[""ACME"",""QUICK_CONNECT""]"
19867,0.0,"[""ACME"",""QUICK_CONNECT""]"
19869,1.0,"[""ACME"",""QUICK_CONNECT""]"
19871,1.0,"[""ACME"",""QUICK_CONNECT""]"
19873,1.0,"[""ACME"",""QUICK_CONNECT""]"
19876,0.0,"[""ACME"",""QUICK_CONNECT""]"
19877,0.0,"[""ACME"",""QUICK_CONNECT""]"
19878,0.0,"[""ACME"",""QUICK_CONNECT""]"
19886,0.0,"[""ACME"",""QUICK_CONNECT""]"
19889,0.0,"[""ACME"",""QUICK_CONNECT""]"
19893,0.0,None
19894,0.0,"[""ACME"",""QUICK_CONNECT""]"
19900,1.0,"[""ACME"",""QUICK_CONNECT""]"
19906,0.0,"[""ACME"",""QUICK_CONNECT""]"
19910,0.0,"[""ACME"",""QUICK_CONNECT""]"
19912,0.0,"[""ACME"",""QUICK_CONNECT""]"
19916,1.0,"[""QUICK_CONNECT"",""ACME""]"
19918,0.0,"[""ACME"",""QUICK_CONNECT""]"
19919,1.0,"[""QUICK_CONNECT"",""ACME""]"
19920,1.0,None
19924,1.0,"[""QUICK_CONNECT"",""ACME""]"
19925,1.0,"[""ACME"",""QUICK_CONNECT""]"
19926,1.0,"[""QUICK_CONNECT"",""ACME""]"
19927,1.0,"[""ACME"",""QUICK_CONNECT""]"
19931,0.0,"[""QUICK_CONNECT"",""ACME""]"
19932,1.0,"[""ACME"",""QUICK_CONNECT""]"
19934,1.0,"[""ACME"",""QUICK_CONNECT""]"
19936,1.0,"[""ACME"",""QUICK_CONNECT""]"
19937,0.0,"[""ACME"",""QUICK_CONNECT""]"
19938,1.0,"[""ACME"",""QUICK_CONNECT""]"
19941,1.0,"[""ACME"",""QUICK_CONNECT""]"
19942,1.0,"[""ACME"",""QUICK_CONNECT""]"
19947,1.0,"[""ACME"",""QUICK_CONNECT""]"
19948,0.0,"[""ACME"",""QUICK_CONNECT""]"
19951,1.0,"[""ACME"",""QUICK_CONNECT""]"
19952,0.0,"[""ACME"",""QUICK_CONNECT""]"
19955,1.0,"[""ACME"",""QUICK_CONNECT""]"
19956,1.0,"[""ACME"",""QUICK_CONNECT""]"
19957,0.0,"[""ACME"",""QUICK_CONNECT""]"
19961,1.0,"[""ACME"",""QUICK_CONNECT""]"
19962,0.0,"[""ACME"",""QUICK_CONNECT""]"
19963,1.0,"[""ACME"",""QUICK_CONNECT""]"
19964,1.0,"[""ACME"",""QUICK_CONNECT""]"
19966,1.0,"[""ACME"",""QUICK_CONNECT""]"
19967,1.0,"[""ACME"",""QUICK_CONNECT""]"
19968,0.0,"[""ACME"",""QUICK_CONNECT""]"
19973,0.0,"[""ACME"",""QUICK_CONNECT""]"
19974,0.0,"[""ACME"",""QUICK_CONNECT""]"
19976,0.0,"[""QUICK_CONNECT"",""ACME""]"
19978,0.0,"[""ACME"",""QUICK_CONNECT""]"
19979,0.0,"[""QUICK_CONNECT"",""ACME""]"
19981,0.0,"[""ACME"",""QUICK_CONNECT""]"
19988,1.0,"[""ACME"",""QUICK_CONNECT""]"
19990,1.0,"[""ACME"",""QUICK_CONNECT""]"
19994,0.0,"[""ACME"",""QUICK_CONNECT""]"
20000,0.0,"[""QUICK_CONNECT"",""ACME""]"
20002,1.0,"[""ACME"",""QUICK_CONNECT""]"
20003,0.0,"[""ACME"",""QUICK_CONNECT""]"
20005,0.0,"[""ACME"",""QUICK_CONNECT""]"
