sid,e85_blender_pump,e85_other_ethanol_blends
33847,0.0,
33849,0.0,
33851,0.0,
33860,0.0,
33861,0.0,
33862,0.0,
33863,0.0,
33864,0.0,
33867,0.0,
33868,1.0,"[""E40-Plus""]"
33902,0.0,
33903,0.0,
33904,0.0,
33908,0.0,
33910,0.0,
33930,0.0,
33934,0.0,
33935,1.0,"[""E30-E35""]"
33936,0.0,
33940,0.0,
33969,0.0,
34186,0.0,
34187,0.0,
34207,0.0,
34216,0.0,
34223,0.0,
34263,1.0,"[""E15""]"
34264,1.0,"[""E15""]"
34265,0.0,
34267,1.0,"[""E15""]"
34268,1.0,"[""E15""]"
34269,0.0,
34271,0.0,
34272,0.0,
34275,0.0,
34276,1.0,"[""E15""]"
34277,1.0,"[""E15""]"
34278,1.0,"[""E15""]"
34279,0.0,
34280,0.0,
34281,0.0,
34282,0.0,
34283,1.0,"[""E15""]"
34288,0.0,
34291,0.0,
34293,0.0,
34294,0.0,
34295,0.0,
34300,0.0,
34304,0.0,
34306,0.0,
34339,0.0,
34341,1.0,"[""E15""]"
34345,0.0,
34346,0.0,
34349,0.0,
34351,0.0,
34358,0.0,
34359,0.0,
34369,0.0,
34370,1.0,"[""E15""]"
34373,1.0,"[""E30-E35""]"
34375,1.0,"[""E20-E25""]"
34376,1.0,"[""E15"",""E30-E35"",""E40-Plus""]"
34377,0.0,
34379,0.0,
34806,0.0,
34826,0.0,
34827,0.0,
34833,0.0,
34835,1.0,"[""E15""]"
34836,0.0,
34842,1.0,"[""E30-E35""]"
34847,0.0,
34848,0.0,
34995,0.0,
35002,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
35005,0.0,
35006,0.0,
35025,0.0,
35027,0.0,
35043,0.0,
35078,0.0,
35080,1.0,"[""E15""]"
35094,0.0,
35095,0.0,
35096,0.0,
35097,0.0,
35098,1.0,"[""E15"",""E30-E35""]"
35099,0.0,
35100,0.0,
35111,0.0,
35113,0.0,
35115,0.0,
35119,0.0,
35187,0.0,
35191,0.0,
35195,0.0,
35197,0.0,
35201,0.0,
35203,0.0,
35204,0.0,
35206,0.0,
35207,0.0,
35208,0.0,
35236,0.0,
35237,0.0,
35247,1.0,"[""E15"",""E30-E35"",""E40-Plus""]"
35248,0.0,
35252,1.0,"[""E15""]"
35253,0.0,
35254,1.0,"[""E15"",""E30-E35""]"
35255,1.0,"[""E15""]"
35256,1.0,"[""E15""]"
35292,0.0,
35416,0.0,
35430,0.0,
35431,0.0,
35432,0.0,
35433,0.0,
35434,0.0,
35443,1.0,"[""E15""]"
35445,0.0,
35446,0.0,
35447,0.0,
35448,1.0,"[""E15""]"
35449,1.0,"[""E15""]"
35450,0.0,
35451,1.0,"[""E15""]"
35452,0.0,
35453,0.0,
35454,0.0,
35455,0.0,
35457,0.0,
35458,1.0,"[""E15""]"
35460,0.0,
35462,1.0,"[""E20-E25"",""E30-E35""]"
35463,0.0,
35464,1.0,"[""E15""]"
35465,0.0,
35494,0.0,
35497,0.0,
35527,0.0,
35528,0.0,
35530,1.0,"[""E15""]"
35531,0.0,
35532,0.0,
35534,0.0,
35535,0.0,
