vid,port
776644a5-1ec8-cb13-92d1-ac9d10c36826,ccs
5e1746c9-56a2-4fb9-8a76-b75c95a037ee,chademo
68cbedff-8994-4b77-bfb5-6aa22962e3a2,ccs
0f7eae0b-43be-48f8-b4a0-1a8266fd07a9,ccs
66cb7bea-24b7-458f-ae3e-11d4a852568b,ccs
63cd9718-5737-4898-a4f4-e594b28c74c0,ccs
add28704-7b59-474d-bfa6-2338e54ccaef,chademo
87e73c44-93ba-4687-877c-32a3aa940a09,ccs
58661a4c-e1f9-4dc2-8d09-3bb42be62554,ccs
3c933da2-1fa1-4094-825a-a181610dbfd0,ccs
600a7816-ea65-4e6a-ac91-c5528b379028,ccs
e7717ac1-90fa-4bea-9272-52afc10facc4,ccs
c1fda7bf-9307-03c9-86c1-0350de0994cb,ccs
8b0195b6-5318-46d9-a6fd-1b5f75e8b495,ccs
2ae110f8-8906-4b03-b4bc-83e5577c1cc1,ccs
176af738-f385-4dc8-9243-9c701fbd7759,ccs
8a5cd1a2-f84a-22b9-b397-470fe5ca5bca,ccs
5335d545-cfeb-4bca-bb11-cf0966f1b5ca,ccs
0fad0871-8a99-6506-9c09-837f9ede132d,ccs
6bbd3cdd-2b11-43cd-85b9-4556937f9f82,ccs
1e8c0cc5-20db-491f-9242-12cf3bc7b962,ccs
8b51a06f-676a-46aa-9074-4d3364ea1cca,ccs
ed02b1b2-f89d-432d-9e62-4feb8fb9cf97,ccs
d8c11860-a582-4784-9e58-d29e94a67fc2,ccs
2c7abcf4-0ba0-4feb-9e9b-b47661072feb,chademo
1847e3aa-750c-4b12-a80a-56e792b3aadb,chademo
2644bfd3-a593-4276-bb1f-c8965e33797e,chademo
86290f48-f554-4db5-bd35-4a8b7828689a,chademo
daa3573d-60ea-4c7a-8048-79c575e3db4c,chademo
78b14a0f-5c62-4885-95ef-2e3f81197260,chademo
77028f96-eb9b-4c65-b452-c92011b1fc1c,chademo
dc7d163b-29bc-45cf-8156-60eb3e3b1294,chademo
3b649ae3-935b-425b-b5d6-75c549b96d40,chademo
83ec0576-bfb8-400a-9af9-483b2684673c,chademo
74f2c3a5-f78f-459a-823a-dfc0a21e5aeb,chademo
1cec7821-632f-4f17-8a58-644b6ab23f44,ccs
6f96c616-e87a-4958-bbe7-b4278be00170,ccs
557ce8e0-56c0-258e-6012-60c591df3b77,ccs
7bff132a-ecad-af92-99e6-9bea47805e21,ccs
c9e46cfd-6fb0-99b1-1911-d25a9d762e37,ccs
f33f0a4f-9b53-4e21-807b-f8b2ca4a24f6,ccs
5655021c-128f-49cf-970e-91b133335eec,ccs
926efa33-4c55-43df-80f3-4b8d2d65a00a,ccs
04980813-ec12-1047-40ea-4c6c44b60171,ccs
ca526f1f-69d7-9c32-ac5b-13333fe57e78,ccs
de7bac96-33ed-44f2-964e-21a4878e9f00,ccs
28b61ff5-734a-412e-9241-dec4c27d1a38,chademo
72695d36-29c4-4726-8ca8-5333fb3f9865,ccs
9d101a26-eaaa-4058-a251-5221b45ffd91,ccs
e60a8ec6-a6dd-46ae-846a-35cb57f1d8e3,chademo
c9025ab4-1c85-40d8-86ab-ee406de3b716,ccs
4c04db3b-c493-4b90-9859-21b7304a4ffc,ccs
34b5ef32-efea-48fc-8386-3800d0b737f0,ccs
6990914a-6a0d-49d4-87f5-ee86ee33344c,ccs
a12f033f-f2c2-44bd-b62c-7019898a72d0,ccs
c53b5947-23a3-420c-9798-f3846732e41a,ccs
5079c683-69ba-44b3-b8c8-d31fa00c97a1,ccs
de3a8751-00c9-46d1-9e7a-ad830835c6a7,ccs
2eea1ef2-0fd1-481d-adee-68044666614e,ccs
aa69b5e8-fc4e-40f8-8060-2c96248f62ef,ccs
18bb40bd-321b-4326-a404-e46652538830,ccs
4dc6b014-8612-4fa7-bb34-9ea4d7fa5220,ccs
55ac0aaf-6bae-4a8e-ba50-4a9a7ab5b4af,ccs
ffcd3116-4e17-49ff-a926-941c062643ea,ccs
ff261470-8556-4051-afec-c049abd5fe6a,ccs
0620ba23-8f0e-1a09-f96d-4fa691c84a54,tesla
80e7ef22-27f8-4e93-8c86-7a6a0a227e5d,ccs
ed3fe177-d852-49bd-84ca-8ecd8d7ec3b1,ccs
7de25a64-e9fa-484f-bf99-d02b02cfb17d,ccs
93c82e06-1aa3-4c19-8f81-b9fac0c598c3,ccs
7dbad968-7058-4440-9c8f-8f483cdd973a,ccs
0a663bbf-3b87-4e7a-bd7a-3e9c39961a2b,ccs
b5aa307e-a6b9-46e7-939e-2dd525870c13,ccs
32922583-e434-4ed2-afc1-4d8fde67aeda,ccs
7f709186-39c3-420f-9caf-1fdb424f7953,ccs
40e94478-d8f9-4a53-8e62-b1c571d7db29,ccs
01de7c99-366b-4084-909d-5723aad78668,ccs
0551e45d-a5f5-4b78-b119-092b1b63a6bb,ccs
5f6b0607-8844-4484-8030-f1479d0b4fe9,ccs
4e1a275f-c333-40b8-bf8b-8f6ff271f720,ccs
6f30c707-a785-42e7-80dc-fff32e16bfcc,ccs
a9d800d2-be3d-48d5-a732-7768d9ce4bde,ccs
b017f476-2111-4322-a843-97ba5be641e2,ccs
1e752c58-220d-4d3a-bc9f-264cf095138a,ccs
f70eec15-6a6e-4f8c-8640-bb99ec06fe43,ccs
72720dc0-75b1-4e93-9c6c-0c07c7930412,ccs
