sid,port
46743,chademo
46743,type1
46743,ccs
46744,type1
46768,type1
46775,type1
46776,type1
46787,type1
46789,type1
46790,type1
46791,chademo
46791,type1
46792,type1
46793,chademo
46793,type1
46794,type1
46797,chademo
46797,type1
46798,type1
46799,type1
46800,type1
46802,type1
46803,type1
46806,type1
46807,type1
46809,type1
46810,type1
46811,type1
46812,type1
46813,type1
46814,type1
46815,type1
46817,type1
46818,type1
46819,type1
46820,type1
46821,chademo
46821,type1
46822,type1
46823,type1
46825,type1
46826,type1
46827,type1
46832,chademo
46832,type1
46833,type1
46837,type1
46838,type1
46842,type1
46844,type1
46845,type1
46846,type1
46848,type1
46849,type1
46850,type1
46851,type1
46852,type1
46853,type1
46855,type1
46857,type1
46858,type1
46893,nema520
46951,type1
46971,type1
46974,type1
46991,type1
46994,type1
46996,type1
46997,type1
46998,chademo
46998,type1
46998,ccs
46999,type1
47000,type1
47003,chademo
47003,type1
47004,type1
47005,chademo
47005,type1
47006,type1
47007,type1
47008,type1
47009,type1
47010,chademo
47010,type1
47010,ccs
47011,type1
47012,type1
47013,type1
47014,type1
47017,type1
47018,type1
47019,type1
47024,type1
47025,type1
47026,type1
47028,type1
47029,type1
47030,type1
47031,type1
47032,chademo
47032,type1
47032,ccs
47033,type1
47034,chademo
47034,type1
47034,ccs
47035,type1
47036,type1
47037,type1
47038,type1
47040,chademo
47040,type1
47040,ccs
47041,type1
47042,type1
47043,type1
47044,type1
47045,type1
47046,chademo
47046,type1
47046,ccs
47047,type1
47048,chademo
47048,type1
47049,type1
47053,type1
47054,type1
47055,type1
47056,type1
47057,chademo
47057,type1
47058,type1
47059,type1
47060,type1
47064,type1
47066,type1
47068,type1
47069,type1
47070,type1
47071,type1
47073,type1
47074,type1
47075,type1
47077,type1
47079,type1
47080,type1
47081,type1
47082,type1
47085,type1
47086,chademo
47086,type1
47087,type1
47088,type1
47089,type1
47090,type1
47091,type1
47092,type1
47093,type1
47094,type1
47095,type1
47096,type1
47097,type1
47098,type1
47099,type1
47116,type1
47117,type1
47118,type1
47119,type1
47120,type1
47121,type1
47122,type1
47123,chademo
47123,type1
47124,type1
47126,type1
47130,type1
47131,type1
47132,type1
47133,chademo
47133,type1
47133,ccs
47134,type1
47135,type1
47136,type1
47137,type1
47138,type1
47141,chademo
47141,type1
47142,type1
47144,type1
47145,type1
47146,type1
47147,type1
47148,chademo
47148,type1
47149,type1
47150,type1
47151,type1
47152,chademo
47152,type1
47153,type1
47154,chademo
47154,type1
47155,type1
47156,type1
47157,type1
47158,type1
47159,type1
47160,type1
47161,type1
47162,type1
47163,type1
47164,type1
47165,type1
47167,type1
47168,type1
47169,type1
47170,type1
47171,type1
47172,type1
47173,type1
47174,type1
47175,type1
47177,type1
47178,chademo
47178,type1
47179,type1
47180,type1
47181,type1
47183,type1
47184,type1
47185,type1
47186,type1
47187,type1
47189,type1
47190,type1
47191,type1
47192,chademo
47192,type1
47192,ccs
47193,type1
47194,type1
47195,type1
47196,type1
47197,type1
47198,type1
47199,type1
47200,type1
47201,type1
47204,type1
47205,type1
47206,type1
47207,type1
47208,type1
47209,chademo
47209,type1
47209,ccs
47210,type1
47211,type1
47212,type1
47213,chademo
47213,type1
47214,type1
47215,chademo
47215,type1
47215,ccs
47216,type1
47217,type1
47218,type1
47219,type1
47220,type1
47221,type1
47223,chademo
47223,type1
47224,type1
47225,chademo
47225,type1
47231,type1
47233,type1
47246,type1
47326,type1
47332,type1
47333,type1
47334,type1
47335,type1
47361,type1
47367,type1
47385,type1
47388,type1
47389,type1
47399,type1
47407,type1
47412,type1
47452,type1
47457,type1
47457,nema520
47471,type1
47473,type1
47511,type1
47512,type1
47527,type1
47533,type1
47541,chademo
47541,type1
47541,ccs
47542,type1
47543,chademo
47543,type1
47543,ccs
47544,type1
47547,chademo
47547,type1
47547,ccs
47548,type1
47549,chademo
47550,type1
47551,chademo
47551,type1
47552,type1
47553,type1
47554,type1
47555,type1
47556,type1
47557,chademo
47557,type1
47557,ccs
47558,type1
47559,type1
47560,type1
47561,chademo
47561,type1
47561,ccs
47562,type1
47563,type1
47564,chademo
47564,type1
47565,chademo
47565,type1
47566,type1
47567,chademo
47567,type1
47568,type1
47569,type1
47570,type1
47573,chademo
47573,type1
47573,ccs
