sid,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
39726,2.0,0.0,1.0,Non-Networked
39727,4.0,0.0,1.0,Non-Networked
39728,1.0,0.0,1.0,Non-Networked
39729,1.0,0.0,1.0,Non-Networked
39730,1.0,0.0,1.0,Non-Networked
39731,0.0,0.0,1.0,Non-Networked
39732,2.0,0.0,1.0,Non-Networked
39733,0.0,0.0,1.0,Non-Networked
39734,0.0,0.0,1.0,Non-Networked
39735,0.0,0.0,1.0,Non-Networked
39736,0.0,0.0,1.0,Non-Networked
39737,0.0,0.0,1.0,Non-Networked
39738,1.0,0.0,1.0,Non-Networked
39739,0.0,0.0,1.0,Non-Networked
39740,0.0,0.0,1.0,Non-Networked
39741,1.0,0.0,1.0,Non-Networked
39742,2.0,0.0,1.0,Non-Networked
39743,0.0,0.0,1.0,Non-Networked
39745,0.0,0.0,1.0,Non-Networked
39746,1.0,0.0,2.0,Non-Networked
39747,0.0,0.0,1.0,Non-Networked
39748,0.0,0.0,1.0,Non-Networked
39749,0.0,0.0,1.0,Non-Networked
39750,0.0,0.0,1.0,Non-Networked
39751,0.0,0.0,1.0,Non-Networked
39752,0.0,0.0,1.0,Non-Networked
39753,0.0,0.0,1.0,Non-Networked
39754,0.0,0.0,1.0,Non-Networked
39755,0.0,0.0,1.0,Non-Networked
39756,1.0,0.0,1.0,Non-Networked
39757,1.0,0.0,1.0,Non-Networked
39758,0.0,0.0,1.0,Non-Networked
39759,0.0,0.0,1.0,Non-Networked
39760,0.0,0.0,1.0,Non-Networked
39761,0.0,0.0,1.0,Non-Networked
39762,0.0,0.0,1.0,Non-Networked
39763,1.0,0.0,3.0,Non-Networked
39764,1.0,0.0,2.0,Non-Networked
39765,1.0,0.0,2.0,Non-Networked
39766,1.0,0.0,1.0,Non-Networked
39768,1.0,0.0,2.0,Non-Networked
39769,1.0,0.0,2.0,Non-Networked
39770,0.0,4.0,0.0,Non-Networked
39771,0.0,0.0,2.0,ChargePoint Network
39772,1.0,0.0,1.0,Non-Networked
39773,1.0,0.0,1.0,Non-Networked
39774,1.0,0.0,2.0,Non-Networked
39775,1.0,0.0,3.0,Non-Networked
39776,0.0,0.0,1.0,Non-Networked
39778,1.0,0.0,2.0,Non-Networked
39779,0.0,0.0,1.0,Non-Networked
39780,1.0,0.0,2.0,Non-Networked
39782,0.0,0.0,2.0,Non-Networked
39786,1.0,0.0,1.0,Non-Networked
39787,0.0,0.0,1.0,Non-Networked
39788,1.0,0.0,2.0,Non-Networked
39789,1.0,0.0,1.0,Non-Networked
39791,1.0,0.0,1.0,Non-Networked
39795,0.0,0.0,1.0,Non-Networked
39796,1.0,0.0,2.0,Non-Networked
39797,1.0,0.0,1.0,Non-Networked
39798,1.0,0.0,1.0,Non-Networked
39799,0.0,0.0,1.0,Non-Networked
39802,1.0,0.0,1.0,Non-Networked
39803,1.0,0.0,1.0,Non-Networked
39805,0.0,0.0,1.0,Non-Networked
