id,brand,vehicle_type,model,release_year,variant,type,ac_port,dc_port,usable_battery_size,energy_consumption
124,Mercedes Benz,car,B-Klasse,,,bev,type2,,28.0,16.6
125,Mercedes Benz,car,A 250 e,2020.0,"7,4 kW-AC + DC",phev,type2,ccs,10.7,15.0
126,Mercedes Benz,car,A 250 e,2020.0,"7,4 kW-AC",phev,type2,,10.7,15.0
127,Mercedes Benz,car,A 250 e,2020.0,"3,7 kW-AC",phev,type2,,10.7,15.0
128,Mercedes Benz,car,GLC 300 de 4MATIC,2020.0,PHEV,phev,type2,,13.5,18.2
129,Mercedes Benz,car,C 300,2019.0,de,phev,type2,,13.5,20.0
130,Mercedes Benz,car,E 300,2019.0,e,phev,type2,,13.5,20.0
131,Mercedes Benz,car,GLE,2020.0,350 de/e,phev,type2,ccs,31.2,31.2
132,Mercedes Benz,car,C 300,2019.0,e,phev,type2,,13.5,20.0
133,Mercedes Benz,car,CLA 250,2020.0,e,phev,type2,ccs,15.6,20.0
134,Mercedes Benz,car,E 350,2016.0,e,phev,type2,,9.0,20.0
135,Mercedes Benz,car,E 300,2019.0,de,phev,type2,,13.5,20.0
136,Mercedes Benz,car,eVito,2019.0,Tourer,bev,type2,,41.0,26.2
137,Mini,car,Countryman ALL4,2019.0,,phev,type2,,7.6,13.2
138,Mini,car,Cooper SE,2020.0,,bev,type2,ccs,28.9,16.1
139,Mitsubishi,car,i-Miev,,,bev,type1,chademo,14.5,12.9
140,Mitsubishi,car,Outlander PHEV,2018.0,,phev,type1,chademo,11.0,15.2
141,Nissan,car,e-NV 200,,"24 kWh 6,6 kW-AC",bev,type1,chademo,24.0,20.0
142,Nissan,car,e-NV 200,,24 kWh,bev,type1,chademo,24.0,20.0
143,Nissan,car,e-NV 200,,40 kWh,bev,type1,chademo,38.0,20.0
144,Nissan,car,Leaf,2019.0,e+ 62 kWh,bev,type2,chademo,62.0,17.2
145,Nissan,car,Leaf,2018.0,40 kWh,bev,type2,chademo,38.0,16.4
146,Nissan,car,Leaf,2011.0,24 kWh,bev,type1,chademo,24.0,16.9
147,Nissan,car,Leaf,2011.0,"24 kWh 6,6 kW-AC",bev,type1,chademo,24.0,16.9
148,Nissan,car,Leaf,2015.0,30 kWh,bev,type1,chademo,30.0,16.5
149,Nissan,car,Leaf,2015.0,"30 kWh 6,6 kW-AC",bev,type1,chademo,30.0,16.5
150,Opel,car,Corsa-e,2020.0,"7,2 kW-AC",bev,type2,ccs,45.0,16.4
151,Opel,car,Corsa-e,2020.0,11 kW-AC,bev,type2,ccs,45.0,16.4
152,Opel,car,Mokka-e,2021.0,,bev,type2,ccs,47.5,17.6
153,Opel,car,Vivaro-e,2020.0,50 kWh,bev,type2,ccs,50.0,21.7
154,Opel,car,Vivaro-e,2020.0,75 kWh,bev,type2,ccs,75.0,21.7
155,Opel,car,Ampera e,2017.0,CCS,bev,type2,ccs,60.0,17.3
156,Opel,car,Ampera e-Pionier,2012.0,,bev,type1,,10.6,16.9
157,Opel,car,Zafira e-life,2021.0,Zafira-e Life 50 kWh,bev,type2,ccs,46.0,16.4
158,Peugeot,car,e-208,2020.0,"7,2 kW-AC",bev,type2,ccs,45.0,16.1
159,Peugeot,car,E-Traveller,2020.0,50 kWh 7.4 kW-AC,bev,type2,ccs,45.0,24.3
160,Peugeot,car,E-Traveller,2020.0,50 kWh 11 kW-AC,bev,type2,ccs,45.0,24.3
161,Peugeot,car,e-208,2020.0,11 kW-AC,bev,type2,ccs,45.0,16.1
162,Peugeot,car,I-on,,,bev,type1,chademo,14.5,12.9
163,Peugeot,car,e-2008,2020.0,"7,2 kW-AC",bev,type2,ccs,47.5,18.0
164,Peugeot,car,e-2008,2020.0,11 kW-AC,bev,type2,ccs,47.5,18.0
165,Peugeot,car,Partner,,,bev,type1,chademo,22.5,20.5
166,Peugeot,car,3008,2020.0,"HYbrid4 3,7 kW-AC",phev,type1,,11.2,15.2
167,Peugeot,car,3008,2020.0,"HYbrid4 7,4 kW-AC",phev,type1,,11.2,15.2
168,Polestar,car,2,2020.0,,bev,type2,ccs,72.5,17.1
169,Porsche,car,Taycan,2020.0,Turbo S,bev,type2,ccs,83.7,22.3
170,Porsche,car,Taycan,2020.0,4S,bev,type2,ccs,71.0,19.5
171,Porsche,car,Taycan,2020.0,4S Plus,bev,type2,ccs,83.7,19.7
172,Porsche,car,Taycan,2020.0,Turbo ,bev,type2,ccs,83.7,21.5
173,Renault,car,Zoe,2017.0,R 90,bev,type2,,41.0,16.1
174,Renault,car,Zoe,2019.0,R110 ZE40,bev,type2,ccs,41.0,16.1
175,Renault,car,Zoe,2013.0,Q 210,bev,type2,,22.0,15.5
176,Renault,car,Zoe,2015.0,R 240,bev,type2,,22.0,15.5
177,Renault,car,Zoe,2019.0,R135 ZE50,bev,type2,ccs,52.0,17.4
178,Renault,car,Zoe,2017.0,Q 90,bev,type2,,41.0,16.4
