sid,bd_blends
203817,"B20 in summer, B5 in winter"
203818,"B20 in summer, B5 in winter"
203819,"B20 in summer, B5 in winter"
203820,"B20 in summer, B5 in winter"
203821,"B20 in summer, B5 in winter"
203822,"B20 in summer, B5 in winter"
203823,"B20 in summer, B5 in winter"
203824,"B20 in summer, B5 in winter"
203825,"B20 in summer, B5 in winter"
203826,"B20 in summer, B5 in winter"
203827,"B20 in summer, B5 in winter"
203828,"B20 in summer, B5 in winter"
203829,"B20 in summer, B5 in winter"
203830,"B20 in summer, B5 in winter"
203831,"B20 in summer, B5 in winter"
203832,"B20 in summer, B5 in winter"
203833,"B20 in summer, B5 in winter"
203834,"B20 in summer, B5 in winter"
203835,"B20 in summer, B5 in winter"
203836,"B20 in summer, B5 in winter"
203837,"B20 in summer, B5 in winter"
203838,"B20 in summer, B5 in winter"
203839,"B20 in summer, B5 in winter"
203840,"B20 in summer, B5 in winter"
203841,"B20 in summer, B5 in winter"
203842,"B20 in summer, B5 in winter"
203843,"B20 in summer, B5 in winter"
203844,"B20 in summer, B5 in winter"
203845,"B20 in summer, B5 in winter"
203846,"B20 in summer, B5 in winter"
203847,"B20 in summer, B5 in winter"
203848,"B20 in summer, B5 in winter"
203849,"B20 in summer, B5 in winter"
203850,"B20 in summer, B5 in winter"
203851,"B20 in summer, B5 in winter"
203852,"B20 in summer, B5 in winter"
203853,"B20 in summer, B5 in winter"
203854,"B20 in summer, B5 in winter"
203855,"B20 in summer, B5 in winter"
203856,"B20 in summer, B5 in winter"
203857,"B20 in summer, B5 in winter"
203858,"B20 in summer, B5 in winter"
203859,"B20 in summer, B5 in winter"
203860,"B20 in summer, B5 in winter"
203861,"B20 in summer, B5 in winter"
203862,"B20 in summer, B5 in winter"
203863,"B20 in summer, B5 in winter"
203864,"B20 in summer, B5 in winter"
203865,"B20 in summer, B5 in winter"
203866,"B20 in summer, B5 in winter"
203867,"B20 in summer, B5 in winter"
203868,"B20 in summer, B5 in winter"
203869,"B20 in summer, B5 in winter"
203870,"B20 in summer, B5 in winter"
203871,"B20 in summer, B5 in winter"
203872,"B20 in summer, B5 in winter"
203873,"B20 in summer, B5 in winter"
203874,"B20 in summer, B5 in winter"
203875,"B20 in summer, B5 in winter"
203876,"B20 in summer, B5 in winter"
203877,"B20 in summer, B5 in winter"
203878,"B20 in summer, B5 in winter"
203879,"B20 in summer, B5 in winter"
203880,"B20 in summer, B5 in winter"
203881,"B20 in summer, B5 in winter"
203882,"B20 in summer, B5 in winter"
203883,"B20 in summer, B5 in winter"
203884,"B20 in summer, B5 in winter"
203885,"B20 in summer, B5 in winter"
203904,"B20 in summer, B5 in winter"
203905,"B20 in summer, B5 in winter"
203906,"B20 in summer, B5 in winter"
203907,"B20 in summer, B5 in winter"
203908,"B20 in summer, B5 in winter"
203909,"B20 in summer, B5 in winter"
203910,"B20 in summer, B5 in winter"
203911,"B20 in summer, B5 in winter"
203912,"B20 in summer, B5 in winter"
203913,"B20 in summer, B5 in winter"
203914,"B20 in summer, B5 in winter"
203915,"B20 in summer, B5 in winter"
203916,"B20 in summer, B5 in winter"
203917,"B20 in summer, B5 in winter"
203918,"B20 in summer, B5 in winter"
203919,"B20 in summer, B5 in winter"
203920,"B20 in summer, B5 in winter"
203921,"B20 in summer, B5 in winter"
203922,"B20 in summer, B5 in winter"
203923,"B20 in summer, B5 in winter"
203924,"B20 in summer, B5 in winter"
203925,"B20 in summer, B5 in winter"
203926,"B20 in summer, B5 in winter"
203927,"B20 in summer, B5 in winter"
203928,"B20 in summer, B5 in winter"
203929,"B20 in summer, B5 in winter"
203930,"B20 in summer, B5 in winter"
203931,"B20 in summer, B5 in winter"
203932,"B20 in summer, B5 in winter"
203933,"B20 in summer, B5 in winter"
203934,"B20 in summer, B5 in winter"
203935,"B20 in summer, B5 in winter"
203936,"B20 in summer, B5 in winter"
203937,"B20 in summer, B5 in winter"
203938,"B20 in summer, B5 in winter"
203939,"B20 in summer, B5 in winter"
203940,"B20 in summer, B5 in winter"
203941,"B20 in summer, B5 in winter"
203942,"B20 in summer, B5 in winter"
203943,"B20 in summer, B5 in winter"
203944,"B20 in summer, B5 in winter"
203945,"B20 in summer, B5 in winter"
203946,"B20 in summer, B5 in winter"
203947,"B20 in summer, B5 in winter"
203948,"B20 in summer, B5 in winter"
203949,"B20 in summer, B5 in winter"
203950,"B20 in summer, B5 in winter"
203951,"B20 in summer, B5 in winter"
203952,"B20 in summer, B5 in winter"
203953,"B20 in summer, B5 in winter"
203954,"B20 in summer, B5 in winter"
203955,"B20 in summer, B5 in winter"
203956,"B20 in summer, B5 in winter"
203957,"B20 in summer, B5 in winter"
203958,"B20 in summer, B5 in winter"
