sid,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class
48013,1.0,Q,3000 3600,NONE,None,None,MD
48014,1.0,Q,3600,NONE,None,None,MD
48488,2.0,Q,3600,None,None,None,HD
48496,2.0,Q,3600,None,None,None,HD
48497,1.0,Q,3600,None,None,None,HD
48499,2.0,Q,3600,None,None,None,HD
48503,None,T,3600,None,None,None,HD
48516,1.0,Q,3600,None,200.0,None,HD
48519,None,None,None,None,None,None,HD
48896,4.0,Q,3600,NONE,None,24714.0,HD
48901,2.0,Q,3000 3600,NONE,None,None,HD
48903,2.0,Q,3600,NONE,None,None,HD
48904,3.0,Q,3600,NONE,1380.0,28125.0,HD
48905,1.0,Q,3000 3600,NONE,None,None,HD
48906,2.0,Q,3600,None,1400.0,None,HD
48907,40.0,T,3600,None,None,None,HD
48908,1.0,Q,3600,None,None,34600.0,HD
48910,2.0,Q,3600,NONE,None,None,MD
48911,1.0,Q,3600,NONE,None,None,MD
48913,None,Q,3600,None,None,None,HD
48915,1.0,Q,3600,NONE,None,None,HD
48917,2.0,Q,3600,None,1400.0,None,HD
49283,2.0,Q,3600,None,1400.0,None,HD
49284,2.0,Q,3600,None,1400.0,None,HD
49285,None,T,3600,WASTEWATER,None,0.0,HD
49286,1.0,Q,3600,NONE,756.0,36000.0,HD
49291,45.0,T,3600,None,None,None,HD
