sid,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
173784,type1,None,None,1.0,ChargePoint Network
173786,type1,None,None,2.0,ChargePoint Network
173789,type1,None,None,2.0,ChargePoint Network
173790,type1,None,None,2.0,ChargePoint Network
173793,type1,None,None,2.0,ChargePoint Network
173794,type1,None,None,2.0,ChargePoint Network
173796,type1,None,None,2.0,ChargePoint Network
173797,type1,None,None,1.0,ChargePoint Network
173800,type1,None,None,1.0,ChargePoint Network
173801,type1,None,None,2.0,ChargePoint Network
173802,type1,None,None,2.0,ChargePoint Network
173803,type1,None,None,2.0,ChargePoint Network
173817,type1,None,None,2.0,ChargePoint Network
173818,type1,None,None,2.0,ChargePoint Network
173819,type1,None,None,2.0,ChargePoint Network
173822,type1,None,None,2.0,ChargePoint Network
173824,type1,None,None,1.0,ChargePoint Network
173825,type1,None,None,1.0,ChargePoint Network
173826,type1,None,None,1.0,ChargePoint Network
173827,type1,None,None,2.0,ChargePoint Network
173828,type1,None,None,2.0,ChargePoint Network
173832,type1,None,None,2.0,ChargePoint Network
173834,type1,None,None,1.0,ChargePoint Network
173847,type1,None,None,2.0,ChargePoint Network
173848,type1,None,None,1.0,ChargePoint Network
173849,type1,None,None,1.0,ChargePoint Network
173852,type1,None,None,2.0,ChargePoint Network
173853,ccs,1.0,None,None,ChargePoint Network
173857,type1,None,None,2.0,ChargePoint Network
173858,type1,None,None,2.0,ChargePoint Network
173859,type1,None,None,2.0,ChargePoint Network
173860,type1,None,None,2.0,ChargePoint Network
173861,type1,None,None,2.0,ChargePoint Network
173863,type1,None,None,2.0,ChargePoint Network
173864,type1,None,None,2.0,ChargePoint Network
173865,type1,None,None,2.0,ChargePoint Network
173866,type1,None,None,2.0,ChargePoint Network
173867,type1,None,None,2.0,ChargePoint Network
173868,type1,None,None,1.0,ChargePoint Network
173869,type1,None,None,1.0,ChargePoint Network
173870,type1,None,None,2.0,ChargePoint Network
173871,type1,None,None,1.0,ChargePoint Network
173876,type1,None,None,2.0,ChargePoint Network
173877,type1,None,None,2.0,ChargePoint Network
173878,type1,None,None,2.0,ChargePoint Network
173879,type1,None,None,2.0,ChargePoint Network
173880,type1,None,None,2.0,ChargePoint Network
173881,type1,None,None,2.0,ChargePoint Network
173882,type1,None,None,2.0,ChargePoint Network
173884,type1,None,None,1.0,ChargePoint Network
173885,type1,None,None,2.0,ChargePoint Network
173886,type1,None,None,2.0,ChargePoint Network
173887,type1,None,None,2.0,ChargePoint Network
173888,type1,None,None,2.0,ChargePoint Network
173889,type1,None,None,2.0,ChargePoint Network
173892,type1,None,None,1.0,ChargePoint Network
173893,type1,None,None,1.0,ChargePoint Network
173895,type1,None,None,2.0,ChargePoint Network
173899,type1,None,None,2.0,ChargePoint Network
173900,type1,None,None,2.0,ChargePoint Network
173901,type1,None,None,2.0,ChargePoint Network
173902,type1,None,None,2.0,ChargePoint Network
173903,type1,None,None,2.0,ChargePoint Network
173904,type1,None,None,2.0,ChargePoint Network
173905,type1,None,None,2.0,ChargePoint Network
173908,type1,None,None,2.0,ChargePoint Network
173909,type1,None,None,2.0,ChargePoint Network
173910,type1,None,None,2.0,ChargePoint Network
173912,type1,None,None,2.0,ChargePoint Network
173916,type1,None,None,2.0,ChargePoint Network
173918,type1,None,None,2.0,ChargePoint Network
173920,type1,None,None,2.0,ChargePoint Network
173921,type1,None,None,2.0,ChargePoint Network
173922,type1,None,None,2.0,ChargePoint Network
173923,type1,None,None,2.0,ChargePoint Network
173924,type1,None,None,2.0,ChargePoint Network
173925,type1,None,None,2.0,ChargePoint Network
173926,type1,None,None,2.0,ChargePoint Network
173927,type1,None,None,2.0,ChargePoint Network
173928,type1,None,None,2.0,ChargePoint Network
173930,type1,None,None,2.0,ChargePoint Network
173931,type1,None,None,2.0,ChargePoint Network
173932,type1,None,None,2.0,ChargePoint Network
173933,type1,None,None,1.0,ChargePoint Network
