id,brand,vehicle_type,model,release_year,variant,type,usable_battery_size,energy_consumption
0620ba23-8f0e-1a09-f96d-4fa691c84a54,Tesla,car,Roadster,2022.0,,bev,200.0,20.6
80e7ef22-27f8-4e93-8c86-7a6a0a227e5d,Tesla,car,Model S,,70,bev,67.0,18.5
ed3fe177-d852-49bd-84ca-8ecd8d7ec3b1,Tesla,car,Model S,,"70, 22 kW-AC",bev,67.0,18.5
7de25a64-e9fa-484f-bf99-d02b02cfb17d,Tesla,car,Model 3,,LR,bev,74.0,16.1
93c82e06-1aa3-4c19-8f81-b9fac0c598c3,Tesla,car,Model 3,,SR+,bev,50.0,15.3
7dbad968-7058-4440-9c8f-8f483cdd973a,Tesla,car,Model 3,,Performance,bev,72.5,16.7
0a663bbf-3b87-4e7a-bd7a-3e9c39961a2b,Tesla,car,Model S,,85,bev,76.0,19.1
b5aa307e-a6b9-46e7-939e-2dd525870c13,Tesla,car,Model S,,100,bev,95.0,18.4
32922583-e434-4ed2-afc1-4d8fde67aeda,Tesla,car,Model S,,90,bev,81.0,18.2
7f709186-39c3-420f-9caf-1fdb424f7953,Tesla,car,Model S,,75,bev,72.5,18.5
40e94478-d8f9-4a53-8e62-b1c571d7db29,Tesla,car,Model S,2012.0,85D,bev,77.5,19.1
01de7c99-366b-4084-909d-5723aad78668,Tesla,car,Model S,2015.0,P90D,bev,82.0,18.2
0551e45d-a5f5-4b78-b119-092b1b63a6bb,Tesla,car,Model S,2016.0,BEV,bev,72.5,20.8
5f6b0607-8844-4484-8030-f1479d0b4fe9,Tesla,car,Model S,2016.0,P100D,bev,98.0,20.0
4e1a275f-c333-40b8-bf8b-8f6ff271f720,Tesla,car,Model S,,90D,bev,83.5,18.2
6f30c707-a785-42e7-80dc-fff32e16bfcc,Tesla,car,Model S,,"P85D, 22 kW-AC",bev,80.8,19.1
a9d800d2-be3d-48d5-a732-7768d9ce4bde,Tesla,car,Model S,2017.0,100D,bev,98.0,18.9
b017f476-2111-4322-a843-97ba5be641e2,Tesla,car,Model S,,75D,bev,72.5,19.1
1e752c58-220d-4d3a-bc9f-264cf095138a,Tesla,car,Model S,2019.0,Long Range (Raven),bev,95.0,19.0
f70eec15-6a6e-4f8c-8640-bb99ec06fe43,Tesla,car,Model S,,60,bev,62.0,18.0
72720dc0-75b1-4e93-9c6c-0c07c7930412,Tesla,car,Model S,,P85D,bev,80.8,19.1
10317508-4fed-4aa2-a4da-d95fb20470eb,Tesla,car,Model S,2019.0,Standard Range,bev,72.5,18.4
4e172d17-11b4-4360-93ee-4e4b6ddb6fb6,Tesla,car,Model S,2019.0,Performance,bev,95.0,19.3
d43501d6-32b3-4601-bd24-605682e873fd,Tesla,car,Model S,,60D,bev,62.0,17.7
d302a787-ff60-489a-b69b-2d1713009e88,Tesla,car,Model S,,70D,bev,66.5,18.8
8a5ea62e-5c8c-483e-93f3-eebd659c0968,Tesla,car,Model S,,"70D, 22 kW-AC",bev,66.5,18.8
d03d6e42-d6f8-4e3f-b527-a3c1d1e40f9d,Tesla,car,Model X,2016.0,90D,bev,90.0,20.0
908e578f-f890-4716-93e8-7c0f75e46bb5,Tesla,car,Model X,2016.0,P90D,bev,90.0,21.0
0aa5220a-6da7-4dc0-a0a1-714bea4fded3,Tesla,car,Model X,2017.0,P100D,bev,100.0,22.0
355eadbb-0c97-4a66-993d-8fdc61a77ef5,Tesla,car,Model X,2019.0,Performance,bev,100.0,22.0
7490520f-fe11-4148-a9b6-3882f06ee082,Tesla,car,Model X,2017.0,100D,bev,100.0,20.0
eb8d28ec-8df7-40a8-8dd7-badf738f0832,Tesla,car,Model X,2019.0,Maximum Range,bev,100.0,20.0
1b3105fa-527a-491f-ac26-5bfa94bfa45d,Tesla,car,Model X,2019.0,75D,bev,75.0,20.0
92ffd46c-fe26-4805-81ba-fbadce4d524f,Tesla,car,Model X,2016.0,60D,bev,60.0,16.0
2768baf4-08a8-4760-a2a6-8e39a11664a8,Tesla,car,Model X,2020.0,long range,bev,95.0,22.6
